                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3436,                 3.9998,                 2.9015,                0.00083,                0.02083,                0.00044,                  4e-05,                 3.6631,                 3.8758,                 3.2499,                      0,                      0,                      0
                      2,                 3.9176,                 3.6923,                 3.0533,                0.00083,                0.02083,                0.00044,                  4e-05,                 3.6671,                 3.8719,                 3.2489,               1.01e-05,               1.01e-05,               1.01e-05
