                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3733,                 3.9797,                 2.9403,                0.00083,                0.02041,                0.00044,                  4e-05,                 3.6362,                 3.8676,                 3.2383,                      0,                      0,                      0
                      2,                   3.92,                 3.6925,                 3.0549,                0.00083,                0.02041,                0.00044,                  4e-05,                 3.6407,                  3.864,                 3.2374,               1.01e-05,               1.01e-05,               1.01e-05
