                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3954,                 3.7434,                  3.553,                0.00556,                   0.25,                0.01487,                0.00169,                 2.9846,                    3.5,                    3.3,                      0,                      0,                      0
                      2,                  3.186,                 3.8127,                 3.8053,                0.00556,                   0.25,                0.01007,                 0.0012,                 2.9843,                 3.4659,                 3.3194,               1.01e-05,               1.01e-05,               1.01e-05
