                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3328,                 3.8322,                 3.4143,                0.00333,                    0.2,                0.01842,                0.00206,                 2.8594,                 3.5917,                 3.1468,                      0,                      0,                      0
                      2,                      3,                 3.9543,                 3.7088,                0.00333,                    0.2,                0.01135,                0.00134,                 2.8381,                  3.592,                 3.1914,               1.01e-05,               1.01e-05,               1.01e-05
