                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3575,                 3.7803,                 3.4972,                0.00444,                0.21053,                0.01672,                0.00188,                 2.9125,                 3.5408,                 3.2048,                      0,                      0,                      0
                      2,                 3.0702,                 3.8634,                 3.6978,                0.00444,                0.21053,                0.01076,                0.00128,                  2.918,                 3.5034,                 3.2316,               1.01e-05,               1.01e-05,               1.01e-05
